tournament,match_name,map,duration_min,winner_team,score_diff
VCT 2025: EMEA Stage 1,BBL Esports vs FUT Esports,Ascent,125.0,BBL Esports,2
Valorant Masters Toronto 2025,FNATIC vs Gen.G,Split,108.7,FNATIC,2
VCT 2025: EMEA Stage 1,Team Vitality vs FNATIC,Split,105.4,Team Vitality,2
VCT 2025: Americas Kickoff,Sentinels vs MIBR,Pearl,99.0,MIBR,2
Valorant Masters Bangkok 2025,EDward Gaming vs Team Liquid,Split,95.8,EDward Gaming,2
VCT 2025: Pacific Kickoff,Nongshim RedForce vs Rex Regum Qeon,Lotus,92.3,Nongshim RedForce,2
VCT 2025: Americas Stage 1,Sentinels vs Cloud9,Pearl,90.8,Sentinels,4
VCT 2025: EMEA Stage 1,Karmine Corp vs Gentle Mates,Haven,90.4,Karmine Corp,2
VCT 2025: Americas Stage 1,MIBR vs Sentinels,Lotus,87.3,Sentinels,6
VCT 2025: EMEA Stage 1,Karmine Corp vs FUT Esports,Pearl,86.6,Karmine Corp,2
