tournament,match_name,map,game_id,match_id,winner_team,score_diff
Valorant Masters Toronto 2025,Team Heretics vs Paper Rex,Pearl,217256,490309,Paper Rex,12
Valorant Masters Toronto 2025,Team Heretics vs Paper Rex,Icebox,217257,490309,Paper Rex,4
Valorant Masters Toronto 2025,Bilibili Gaming vs Team Liquid,Icebox,217250,490307,Bilibili Gaming,3
Valorant Masters Toronto 2025,Bilibili Gaming vs Team Liquid,Haven,217251,490307,Team Liquid,2
Valorant Masters Toronto 2025,Bilibili Gaming vs Team Liquid,Sunset,217252,490307,Bilibili Gaming,3
Valorant Masters Toronto 2025,Sentinels vs Wolves Esports,Split,217253,490308,Sentinels,2
Valorant Masters Toronto 2025,Sentinels vs Wolves Esports,Lotus,217254,490308,Sentinels,5
Valorant Masters Toronto 2025,Gen.G vs MIBR,Sunset,217247,490306,Gen.G,8
Valorant Masters Toronto 2025,Gen.G vs MIBR,Haven,217248,490306,Gen.G,12
Valorant Masters Toronto 2025,Bilibili Gaming vs Sentinels,Icebox,217262,490311,Bilibili Gaming,4
Valorant Masters Toronto 2025,Bilibili Gaming vs Sentinels,Sunset,217263,490311,Sentinels,8
Valorant Masters Toronto 2025,Bilibili Gaming vs Sentinels,Lotus,217264,490311,Sentinels,4
